xactid;op
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;8
0000142C0011;5
0000142C0011;30
0000144E0008;0
0000144E0008;65
0000144E0008;65
0000144E0008;30
0000144E000C;0
0000144E000C;65
0000144E000C;65
0000144E000C;30
0000144F0000;0
0000144F0000;65
0000144F0000;65
0000144F0000;30
0000144F0004;0
0000144F0004;14
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
